phase,name,x,y,z,vz
0,vdBergh_80,-741.8367498,-605.7672647,-149.3679652,-11.11469267
0,vdBergh_92,-826.0475287,-814.2027067,-49.04144365,-10.791920229999999
1,,-804.4156685,-793.67385,-50.221209074913155,-9.613244694266013
1,,-320.8300254,-155.5365347,-109.95747627112584,2.1160276975625623
1,,-326.3172943,-127.7044031,-109.58820405397073,-0.810334396415346
1,,-306.5825506,-128.3205219,-114.82772361122007,4.75646117812663
1,,-198.2675804,379.1426805,-27.74576331094884,1.1763676240457157
1,,-143.1446646,348.6835879,27.484120242135077,-1.3351741325420836
1,,-308.180874,-119.0880108,-108.97888302919729,3.621627282937096
1,,-304.5600477,-141.4925697,-118.17911168899616,1.042793676327503
1,,-309.0963874,-112.2958629,-97.84973122529658,3.526311350184155
1,,-694.1325646,-571.5982706,-169.42217999778074,-6.226991132078916
1,,-824.3178326,-837.9519291,-54.70784800630732,-8.750790212606828
1,,-95.01449077,224.8197776,58.54889710391578,1.2352575387257234
1,,212.5568399,1009.814014,52.35285612925247,1.301951473262855
1,,-377.6083681,-102.3607048,-82.69195115633912,2.1840726168803535
1,,177.7097336,941.1439204,4.2618205796893704,2.99815367259124
1,,-268.7677522,-133.3731256,-145.36802875529656,0.9837043381841548
1,,221.3078406,999.1031604,30.4465197075392,-3.1991646737535695
1,,13.30649014,744.2377412,-11.607283926609739,1.2401373430689566
1,,-123.9375886,434.1636167,69.65261719385609,-2.299228467218102
1,,-392.1767838,-193.4090186,-120.94834875172857,2.40682871975152
1,,-74.55861813,126.360053,45.451314677063706,1.8671584433196964
1,,-790.9714014,-774.3657802,-74.2370299105657,-7.490334414400352
1,,-740.9939726,-605.2938097,-166.71918448005195,-9.904861396957985
1,,223.8236287,969.9037578,9.689770289153458,4.015665038482886
1,,-298.8893243,-137.9604888,-68.87410848509317,10.43111990328331
1,,-103.1962559,440.6959836,20.433845875863256,3.8537608623723707
1,,-210.446812,-117.0455258,-144.39369617317425,4.966198362296343
1,,325.3835475,1008.357246,-45.32497494966142,-0.49248515559513395
1,,-161.5380881,382.7860735,-37.36300168315158,0.7008853377409114
