phase,x,y,z,l,b,d
2,74.0,812.8,-0.9,84.8,-0.1,816.2
2,-5.9,623.3,22.8,90.5,2.1,623.7
2,-17.0,561.1,38.4,91.7,3.9,562.7
2,-81.2,741.8,62.4,96.2,4.8,748.8
2,-71.2,442.7,112.1,99.1,14.0,462.2
2,-124.1,435.3,69.8,105.9,8.8,458.0
2,-142.0,363.6,66.7,111.3,9.7,396.0
2,-124.9,308.7,83.5,112.0,14.1,343.3
2,-183.3,376.6,-33.1,116.0,-4.5,420.1
2,-300.4,-42.0,-89.7,188.0,-16.5,316.3
2,-365.6,-157.4,-84.6,203.3,-12.0,406.9
2,-329.8,-166.4,-111.0,206.8,-16.7,385.7
2,-311.1,-155.0,-118.9,206.5,-18.9,367.3
2,-343.2,-218.8,-139.3,212.5,-18.9,430.2
2,-240.7,-156.1,-83.3,213.0,-16.2,298.7
2,-783.0,-616.3,-143.9,218.2,-8.2,1006.8
2,-649.8,-525.9,-93.7,219.0,-6.4,841.2
2,-492.7,-443.3,-191.6,222.0,-16.1,689.9
2,-741.8,-605.8,-155.3,219.2,-9.2,970.2
2,-826.0,-814.2,-55.6,224.6,-2.7,1161.2
3,-804.4,-793.7,-57.7,224.6,-2.9,1131.5
3,-320.8,-155.5,-106.8,205.9,-16.7,372.2
3,-326.3,-127.7,-106.2,201.4,-16.9,366.1
3,-306.6,-128.3,-111.3,202.7,-18.5,350.5
3,-198.3,379.1,-26.4,117.6,-3.5,428.6
3,-143.1,348.7,29.0,112.3,4.4,378.0
3,-308.2,-119.1,-105.4,201.1,-17.7,346.8
3,-304.6,-141.5,-114.8,204.9,-18.9,354.9
3,-309.1,-112.3,-94.2,200.0,-16.0,342.1
3,-694.1,-571.6,-175.5,219.5,-11.0,916.1
3,-824.3,-838.0,-62.1,225.5,-3.0,1177.1
3,-95.0,224.8,61.5,112.9,14.1,251.7
3,212.6,1009.8,49.0,78.1,2.7,1033.1
3,-377.6,-102.4,-79.3,195.2,-11.5,399.2
3,177.7,941.1,6.2,79.3,0.4,957.7
3,-268.8,-133.4,-141.7,206.4,-25.3,331.9
3,221.3,999.1,27.6,77.5,1.5,1023.7
3,13.3,744.2,-13.0,89.0,-1.0,744.4
3,-123.9,434.2,69.4,105.9,8.7,456.8
3,-392.2,-193.4,-118.6,206.2,-15.2,453.1
3,-74.6,126.4,49.4,120.5,18.6,154.9
3,-791.0,-774.4,-81.7,224.4,-4.2,1110.0
3,-741.0,-605.3,-173.4,219.2,-10.3,972.4
3,223.8,969.9,8.6,77.0,0.5,995.4
3,-298.9,-138.0,-65.4,204.8,-11.2,335.7
3,-103.2,440.7,19.8,103.2,2.5,453.1
3,-210.4,-117.0,-140.4,209.1,-30.3,278.7
3,325.4,1008.4,-50.1,72.1,-2.7,1060.8
3,-161.5,382.8,-36.3,112.9,-5.0,417.1
3,-168.3,356.6,-41.2,115.3,-6.0,396.5
3,171.2,977.9,46.7,80.1,2.7,993.9
3,213.6,955.9,13.5,77.4,0.8,979.6
3,190.4,938.2,17.1,78.5,1.0,957.5
3,-713.4,-538.4,-194.1,217.0,-12.3,914.6
3,-341.1,-217.1,-136.0,212.5,-18.6,426.6
3,-5.8,619.5,21.9,90.5,2.0,619.9
3,-347.1,-136.9,-107.5,201.5,-16.1,388.3
3,-314.0,-177.7,-125.2,209.5,-19.1,381.9
