phase,xc,yc,zc
0,-8436.414724505155,-177.71627022373093,-106.90735858246174
0,-8394.921588569488,-137.71726796048958,-101.28956535436694
0,-8803.180382909768,-457.45774088742814,-148.8049102522897
0,-8092.454971895907,769.8928522866227,-2.141237984536822
0,-7914.766982276604,926.8351752914393,33.532334274450754
0,-8054.345799538436,789.3308228523242,4.03323724694345
0,-8107.916882820835,733.5742629795018,9.239032424756196
0,-8250.469366467247,328.7105439802542,147.54050722463083
0,-8494.874229825919,-83.30776394956379,-57.33297840744388
0,-8484.20009687562,-98.33437880101542,-93.65481848126385
0,-8506.65335184319,-113.88817706827417,-56.16130007893542
0,-8497.841631075356,-114.14135722872958,-50.30160315465259
0,-8443.387669188283,-142.30401515798928,-90.4748985823926
0,-8478.257147563123,-162.23439660066163,-92.68844717347403
0,-8490.09966578584,-173.88702069826923,-81.97325298300154
0,-8471.59546784508,-231.1530527678091,-129.9110221021259
0,-8812.851344650879,-469.2251069211836,-147.27447105098219
0,-8799.82431209345,-465.5933333595831,-137.24968515352404
0,-8775.912260041081,-481.7152000158922,-195.03917414113852
0,-8633.562196108807,-419.77765127348107,-190.22784774610886
0,-8617.497129305666,-412.4033736464505,-189.75853705233783
0,-8937.93819313758,-836.071125548485,-7.703229606674334
0,-8941.060080661508,-851.0704339570375,-10.097095487140614
0,-8279.984562673817,448.65768792838986,15.393445911774812
0,-8465.47588090602,-173.3617132599548,-97.3439321879539
0,-8248.304921448203,308.5487777362259,104.27262956454126
0,-8178.781983577755,443.2627624942003,10.804782703234501
0,-8431.797858406479,-146.32113019096474,-87.67705213771464
0,-8473.897091002853,-165.45332890097404,-102.31497805621595
0,-8447.139389741502,-174.17929349700717,-104.56662554507434
0,-7914.203027156156,1002.686694124139,68.55866070461491
0,-8027.67901973196,867.8818002572209,25.130937670225244
0,-8048.002296101973,812.8395414031772,19.187321631585
0,-8127.347918210973,623.2736987021713,45.84896596590354
0,-8138.523228898249,561.1125522400531,61.08207741354308
0,-8202.393802884159,741.798639092362,84.97587079075095
0,-8192.598082076907,442.72843867043866,133.60500471506748
0,-8245.789512693193,435.29239885264167,91.18529213868115
0,-8263.600809221998,363.691138372138,87.18699594513936
0,-8246.489190287299,308.7111936264906,103.51764299240065
0,-8305.66888151339,376.45694708053065,-12.428972599347482
0,-8422.692351928416,-42.22964357171028,-71.20021075816416
0,-8487.78053457106,-157.44577382956302,-65.05280318492649
0,-8451.91163166047,-166.51690782759616,-91.97331395857003
0,-8433.280385309048,-155.0566231249536,-100.09922841005763
0,-8465.664404972475,-218.72554269512213,-119.28656890227296
0,-8362.780619191959,-156.2390718211229,-64.64863548073214
0,-8905.316485402715,-616.1524185971882,-115.45184230997387
0,-8771.847711577231,-526.0732952963598,-66.8739020207922
0,-8614.86450937008,-443.36365496547296,-167.93653690674907
0,-8864.465028935156,-605.2489931776963,-127.26173344515391
0,-8947.961824401817,-814.4136325446844,-25.70066574144571
1,-8926.717527078643,-793.4570584872051,-28.45618482485049
1,-8442.869185404792,-155.6823441141301,-88.02688499698391
1,-8448.40214754317,-127.81650781919595,-87.47188457300945
1,-8428.965659441912,-128.29570737647285,-92.23938831723547
1,-8320.264349367499,379.16602193770655,-5.61029669630117
1,-8264.95094598529,348.79016002169146,48.850595868263404
1,-8430.58479559446,-118.97645477717052,-86.43282523465106
1,-8426.862843279316,-141.38521360208009,-96.01724227876278
1,-8431.330981913883,-112.50667293855724,-75.22356010918872
1,-8816.242812537033,-571.9536248317627,-147.3279180171574
1,-8946.027694505321,-838.4204938039416,-32.52709857812008
1,-8216.787491468516,224.81819072864204,80.53694629232147
1,-7909.0687339205,1009.6904875194376,70.72341133952841
1,-8499.747315860368,-102.5819088586966,-59.970569356695854
1,-7944.149754880539,941.0352028255263,25.360737666127925
1,-8391.189107081691,-133.45623355787575,-122.96344648147374
1,-7900.41715268289,999.0443101063497,48.81786448889641
1,-8109.016373079681,744.1732728149727,7.776315454321541
1,-8245.492137668678,434.2469367593275,91.0162444938066
1,-8514.663926064584,-193.07600524827228,-98.65183267570166
1,-8196.356068263665,126.47971962960372,67.55568569239051
1,-8913.036396102994,-774.4779899154569,-52.63960603294705
1,-8863.970630182877,-604.8101516589642,-144.314204649008
1,-7898.0432073452575,969.8508110846461,28.914692140926142
1,-8421.00071477902,-138.08941709566136,-46.612147581217705
1,-8225.279276258207,440.674555738108,41.61909834773663
1,-8332.715186453039,-117.09284097514859,-122.18685868307844
1,-7796.450130243777,1008.2354430901185,-29.99767908130395
1,-8283.728430614367,382.70551018620677,-15.863354787611861
1,-8290.610816162914,356.52917598883664,-20.912313679771934
1,-7951.162543412746,978.013008114714,67.18349710504191
1,-7908.265876529497,955.9146533117437,33.931811597443804
1,-7931.064620907741,938.1347983135768,37.02347662330879
1,-8836.328352026625,-537.9422250385148,-165.74052276714968
1,-8463.399548478714,-217.28804351826355,-115.99878707623691
1,-8127.318316288809,619.5193879442716,44.61511009574328
1,-8469.372380319113,-136.73260456280303,-88.82175780634827
1,-8436.279334841322,-177.64077726409204,-106.14409116066003
1,-8394.80160088055,-137.65832593977254,-100.00107457368205
1,-8803.093322705121,-457.39413326969054,-151.77106244988687
1,-8092.454971895907,769.8928522866227,-2.141237984536822
1,-7914.766982276604,926.8351752914393,33.532334274450754
1,-8054.345799538436,789.3308228523242,4.03323724694345
1,-8107.9205680586065,733.5530345647287,7.958491231235449
1,-8250.455579268777,328.6798276262079,148.2242198979038
