phase,d,l,b,x,y,z
90,562.0,1.6004669806247047,-0.04712383758837538,561.1290261547327,-26.462143768486055,-16.67246094064343
90,748.8,1.6790067552668044,0.08203043000006867,741.9170460429713,60.99665104027838,-80.86992860601474
90,450.4,1.7296213252977102,0.09424780236989778,442.7574423018051,41.852910927464265,-71.23440975582984
90,452.7,1.848303711914936,0.013962666627148174,435.3378472866307,6.078872274639294,-124.02135312804342
90,391.3,1.9425514366477763,0.06981319251344258,363.68270364576034,25.431180223576323,-142.14019889301557
90,338.8,1.9547687833472316,0.18500491066729705,308.7693698246937,57.78462010108673,-126.9167204817183
90,424.6,2.024581939059404,-0.16406093796886417,376.5035130837524,-62.329747871100174,-186.13239150109746
90,311.3,3.281219074994954,0.22689280638891035,-42.21420435638301,-9.74591716095248,-308.2704462793172
90,410.4,3.548254407710921,0.24609142003131756,-157.44115624394584,-39.54648427734937,-376.93038866861184
90,376.5,3.6093408836075445,0.19373158482553535,-166.57971849809712,-32.681647984670676,-336.05856226274136
90,353.2,3.6041049485838217,0.178023649952424,-155.10635334655197,-27.908048483995568,-316.09080970719396
90,409.7,3.7088247059246364,0.11519178509996798,-218.67279971733174,-25.301318246653857,-345.53746534748626
90,301.7,3.717551351969859,0.3141592618149479,-156.27533230179185,-50.77693288787907,-253.0269029183742
90,1015.2,3.8083084742217936,-0.19198617925517023,-616.273638946027,119.79143585163645,-797.8018888400964
90,837.7,3.8222710068749097,-0.06457711989510571,-526.0828100946694,34.02021627353137,-651.0152009036334
90,666.3,3.874630988265948,-0.10297437512865229,-443.48004425328196,45.82918169857265,-495.15737544133
90,975.8,3.82576171157351,-0.19198613360744357,-605.4030527082714,117.67837969272485,-756.1908375036031
90,1173.8,3.920009460331613,-0.15533422807837838,-814.2639053113442,127.51026190780257,-835.7762054613196
